Ticker,Seasonal_MAE,Seasonal_MAPE,Linear_MAE,Linear_MAPE,Linear_R2
TATNP,1.3734193623075868,0.28783958029300627,67.02584218771304,10.57417276537182,-0.9808098848001985
FEES,0.00040120065298893776,0.3723991743026023,0.015381096963667877,16.97555023236081,-0.41506434351062316
FIVE,6.9251411635412685,0.4144680265373534,658.6756752417048,27.111507850294675,-6.423365733099989
RTKM,0.21733527098664218,0.29371457895698233,12.539598489513219,13.934965132135185,-1.0160751057986044
POSI,6.5860237414159934,0.38250101884169835,319.64489918762905,11.977419050870886,-2.2588947919102487
MTLRP,1.1909878270095116,0.5418402639281309,151.0157200976032,111.56789164024342,-7.260087607291975
SBER,0.6401077166958837,0.3000553962903618,35.851887281160536,11.726979372435977,-1.7481080623613812
MGNT,17.501175052211813,0.3296456210794196,1209.3988962399812,20.387080444344534,-0.2070296974624244
OZON,10.129639828908015,0.47227657393573597,940.1960354367947,23.224676741218133,-2.9667579726564477
SELG,0.2615282528450238,0.45445955743472133,20.969020068420026,39.13567865248886,-8.445269698848373
GAZP,0.45116199356703585,0.266820041755128,24.036852223952295,19.27363543527243,-13.904768295000764
GMKN,0.4197134941591582,0.27321648126307385,21.589192369615034,17.226263829889753,-1.8315679453389029
MTSS,0.6793780911897166,0.2692402844030805,48.087551783608546,21.56390638501301,-0.29039770283032706
RUAL,0.12824212196078638,0.3153577700863589,3.319798360408719,8.490426693787997,0.045694748527744244
TRNFP,3.647941661956469,0.28470981691841163,135.33002460478502,8.978897575980074,-0.31710337211945294
NVTK,4.240168252973839,0.33611580205851493,318.5575640886736,31.303802257034253,-8.71466510994042
LEAS,3.0846112234739094,0.3788445669046037,26.086716741105025,3.9675905676067895,-0.21942768130324408
PLZL,37.97446637534353,0.3467808734531512,2915.4494448324817,21.98040919485474,-11.42754244115361
MOEX,0.44292107150006677,0.2999030815899965,36.54944118051736,15.9409704495038,-7.017494638055069
CHMF,4.092597291559647,0.33615787998067004,265.9158299149083,16.02617758203528,-0.46398328611055084
MSNG,0.009706725714764684,0.39573920016295944,1.1098048923409338,45.16682778410049,-11.751199233375315
UPRO,0.006406777193207227,0.3496645803897246,0.3088158503613387,17.612363353158234,-4.046378394123687
TATN,1.5020370211722014,0.30198145067036397,62.62961403834015,9.599961005563006,-0.7111684601484021
SNGS,0.10483468404319247,0.3755931865257215,2.9338254247555335,9.776534964513328,-0.10328915294398189
ENPG,1.8258164988786525,0.402153647318391,98.85749826149056,28.468985005883702,-3.8728852609240008
ALRS,0.22331861662489008,0.3214659626474318,14.466955889506142,26.441691964021764,-1.6237120338521889
HYDR,0.0020587709505996647,0.27036880994154716,0.135968730962639,20.484518797465036,-5.559366265356569
AGRO,4.653002952656231,0.4242950255659785,171.74833966581468,13.91232589108553,-1.923229862402808
VTBR,0.3525408816291253,0.339696780213909,38.15879497507046,41.49634809097511,-16.169677159971528
IRAO,0.010660459275051047,0.2901278322220221,0.28161529636672594,7.2278935737188545,-0.6081100193795081
ASTR,1.935451378389884,0.35026992021992126,76.520567034465,14.361289204209546,-15.666318403830804
MTLR,0.8282423877262339,0.5085007693756746,164.55252207262265,125.47688764637019,-10.434204529729834
YDEX,12.660590980670248,0.32749820142397607,190.84052915810648,5.085862940028012,-1.843531216227479
