Ticker,SES_MAE_3,SES_MAPE_3,SES_R2_3,ARIMA_MAE_3,ARIMA_MAPE_3,ARIMA_R2_3,Linear_MAE_3,Linear_MAPE_3,Linear_R2_3
ALRS,1.007526660974617,0.020700259506383118,-3.21303814907671,0.9302040746040277,0.019128887487258918,-2.850644571771744,1.1278974680625449,0.023151701208917404,-3.9400765658984414
ASTR,10.431362358379033,0.02020663123349348,-4.497264581922998,9.610463099851168,0.018623598762410806,-3.8188352730947956,15.32043101168396,0.029639067582769674,-9.79121803430747
CHMF,22.809386267202928,0.020042992235763044,-3.7553340108319127,18.90657300721341,0.016626917287279698,-2.4929642366956637,28.604176463990296,0.02510154600846723,-5.786177273130392
ENPG,5.438164034924398,0.016802159689822783,-3.1604943248461517,4.809206564219551,0.01486690880113331,-2.4225283109570115,8.41094690390103,0.02595640802335422,-7.99929743410684
FEES,0.0013357994881146122,0.017447954379631026,-3.261325580120501,0.0009703312883960388,0.012700206806218412,-1.7359401399170924,0.0018423883500211836,0.0240207665713106,-6.0190805386302415
FIVE,65.17607469629031,0.02226431412991561,-15.874750146158117,60.73166978785184,0.020745715934651156,-13.674840090026136,69.63955058622241,0.023791423138603992,-18.108988241726134
GAZP,2.0104663953776005,0.015395738870635238,-1.7407864132480486,1.5853969431893329,0.012120818997363064,-0.5283756860538766,4.05257138981428,0.0309071807588394,-7.217325230005198
GMKN,3.067359013423124,0.030357940870731084,-3.7389738898157843,2.894936095537721,0.028660493780059026,-3.292868410544128,3.588451628167301,0.03547610352663774,-5.134265566155851
HYDR,0.009353021219352367,0.018698110068976096,-5.1310165930949045,0.006320354279053679,0.012648328274423012,-2.097367110408583,0.016437614189241945,0.032816832507003214,-16.058666611112763
IRAO,0.01639090092449802,0.004346959067088156,-18.879254721489147,0.033428646882995995,0.008867263506536383,-77.62308633625521,0.004513996684778625,0.0011976405129325827,-0.5068499623147309
LEAS,33.51930441500542,0.05472149427213096,-7.82592714261297,27.86175634141303,0.04552836856086498,-5.3004546422385905,44.210373425231445,0.07200356175545865,-13.361355735935621
MGNT,140.59001113571685,0.031179438832199837,-4.975281328089942,95.05201117123731,0.021111341401128626,-1.9756389402744565,186.7481424839328,0.041339671568223095,-8.646924713615642
MOEX,1.4672051892706197,0.0073641377604925715,-0.05310255446733447,1.4228580188413484,0.007114290583134464,0.04847753443554692,1.6930809371215314,0.008533902957164385,-0.6413936265645981
MSNG,0.014910847946642361,0.006510160465755738,-0.36940663045819533,0.013364237712304513,0.005823756632983909,-0.07930488680628156,0.028030295474475924,0.012240492046268455,-3.654618401660385
MTLRP,2.9146134503007963,0.028368461857263567,-7.29438707333569,2.3675984317424885,0.023057827150358822,-4.689906917576327,3.901823595915682,0.037945078020065026,-13.16658680652938
MTLR,2.5886674796321265,0.025637908074225686,-6.677336766685963,1.932420485153718,0.01914798993462601,-3.4326101596966634,3.228419490433074,0.03193978151385526,-10.192599621987597
MTSS,3.6259603991880076,0.018803927296948398,-4.35759350927611,3.1531054926516426,0.016359475191342013,-3.22778448119959,3.559120216652616,0.018460262743145554,-4.237855790802809
NVTK,17.914336611001016,0.019940102108607034,-4.158546660414279,8.717117641639865,0.009732587753301294,-0.6270239232460655,30.964595618878928,0.03439319022708134,-12.344290771545785
OZON,106.55059631217819,0.03719153195384404,-4.444336504620889,105.06680542717793,0.03667649894434074,-4.312412793452771,95.41093906574467,0.03331743431983503,-3.450603232651676
PLZL,61.20027744326338,0.004201369293669276,-0.46981015563713546,88.28911214380605,0.006067387662502563,-2.7247808962587796,59.13316331173337,0.00406064004633853,-0.4219230104316982
POSI,85.37690359200163,0.03449089458206453,-4.156125029904548,82.8521621346096,0.03347908816994274,-3.9148307834721123,84.67227029607102,0.034213069204917436,-4.120105836504127
RTKM,2.27641212679381,0.034914574319881465,-3.5612168939911895,1.7162292449101482,0.026383542895632977,-1.8983554474912112,3.462212832336249,0.05291306284929818,-8.15632673245018
RUAL,0.5626089875395076,0.016571726559668803,-4.068903427484368,0.45804206036749423,0.013500791698650844,-2.5996899555034947,0.960344393109897,0.028254246425833445,-12.337223555794894
SBER,3.6571972743495373,0.01477201661479035,-5.531088617555871,2.5248120338924687,0.010204382087339344,-2.3589397787099187,3.2419765781270087,0.01308655978938632,-3.803625095153789
SELG,1.6501607520958739,0.03518105298949555,-5.613761089449528,1.1320235623477402,0.024185438037383933,-2.488552233653842,2.915814895567339,0.06199088312015089,-17.467710085865495
SNGS,0.4545496644673494,0.019380762457630884,-4.297492143244294,0.30495675463771593,0.013023271403209987,-1.76355202730339,0.7851651951359196,0.033414731233999864,-12.83265132757522
TATNP,12.676412345880825,0.022350064839233793,-3.806379385714516,10.390330127641354,0.018337520368336316,-2.477295287591999,16.333397745199818,0.02875369255484697,-6.2191774538245195
TATN,12.90308958485923,0.022693280447328556,-3.916328137427376,10.745190764201766,0.018914290993303284,-2.6326571975433994,16.213583895603165,0.02847524740209857,-6.078770395351755
TRNFP,34.75968022148959,0.02697270063615927,-6.382783909331144,33.61214683012175,0.026083330401652685,-5.922075223595612,34.14296589804909,0.026488689468325666,-6.0306493115791975
UPRO,0.02899196791037569,0.017861777977696013,-3.332854894128525,0.027085147852619507,0.016691058206452048,-2.863553963494444,0.0252406609533337,0.015557698601492524,-2.419956067935987
VTBR,1.9298730266725859,0.024191896006102137,-3.8959840971899595,1.2422699635031762,0.015603115414103924,-1.337740563234346,2.1439795173290768,0.026838341852227814,-4.545956188175739
